2020-May-30 11:57:36 AM [http-nio-8080-exec-1] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.GameReport was added to the dataBase
2020-May-30 11:57:36 AM [http-nio-8080-exec-1] INFO  eventLogger - A new Game Report created, id: 3
2020-May-30 11:57:36 AM [http-nio-8080-exec-1] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.GameReport was updated in the dataBase
2020-May-30 11:59:59 AM [main] INFO  eventLogger - Starting spring boot application
2020-May-30 12:00:01 PM [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication on DESKTOP-MRP1GMH with PID 11716 (C:\Users\iris dreizenshtok\Desktop\programming\Teammates\target\classes started by iris dreizenshtok in C:\Users\iris dreizenshtok\Desktop\programming\Teammates)
2020-May-30 12:00:01 PM [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-May-30 12:00:01 PM [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-May-30 12:00:22 PM [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 22.869 seconds (JVM running for 29.055)
2020-May-30 12:01:16 PM [http-nio-8080-exec-6] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:01:16 PM [http-nio-8080-exec-6] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:01:25 PM [http-nio-8080-exec-9] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.GameReport was added to the dataBase
2020-May-30 12:01:25 PM [http-nio-8080-exec-9] INFO  eventLogger - A new Game Report created, id: 4
2020-May-30 12:01:25 PM [http-nio-8080-exec-9] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.GameReport was updated in the dataBase
2020-May-30 12:11:23 PM [main] INFO  eventLogger - Starting spring boot application
2020-May-30 12:11:25 PM [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication on DESKTOP-MRP1GMH with PID 3140 (C:\Users\iris dreizenshtok\Desktop\programming\Teammates\target\classes started by iris dreizenshtok in C:\Users\iris dreizenshtok\Desktop\programming\Teammates)
2020-May-30 12:11:25 PM [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-May-30 12:11:25 PM [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-May-30 12:11:53 PM [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 30.222 seconds (JVM running for 35.812)
2020-May-30 12:12:58 PM [http-nio-8080-exec-8] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:12:58 PM [http-nio-8080-exec-8] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:14:08 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.GameReport was added to the dataBase
2020-May-30 12:14:08 PM [http-nio-8080-exec-7] INFO  eventLogger - A new Game Report created, id: 5
2020-May-30 12:14:08 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.GameReport was updated in the dataBase
2020-May-30 12:16:58 PM [main] INFO  eventLogger - Starting spring boot application
2020-May-30 12:17:01 PM [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication on DESKTOP-MRP1GMH with PID 13424 (C:\Users\iris dreizenshtok\Desktop\programming\Teammates\target\classes started by iris dreizenshtok in C:\Users\iris dreizenshtok\Desktop\programming\Teammates)
2020-May-30 12:17:01 PM [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-May-30 12:17:01 PM [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-May-30 12:17:27 PM [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 28.367 seconds (JVM running for 35.838)
2020-May-30 12:17:43 PM [http-nio-8080-exec-10] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:17:43 PM [http-nio-8080-exec-10] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:21:49 PM [http-nio-8080-exec-10] INFO  eventLogger - A new Game Event created, id: 0
2020-May-30 12:21:49 PM [http-nio-8080-exec-10] INFO  eventLogger - A new object: com.example.demo.DomainLayer.Alerts.GameEventAlert was added to the dataBase
2020-May-30 12:23:13 PM [main] INFO  eventLogger - Starting spring boot application
2020-May-30 12:23:17 PM [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication on DESKTOP-MRP1GMH with PID 22300 (C:\Users\iris dreizenshtok\Desktop\programming\Teammates\target\classes started by iris dreizenshtok in C:\Users\iris dreizenshtok\Desktop\programming\Teammates)
2020-May-30 12:23:17 PM [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-May-30 12:23:17 PM [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-May-30 12:23:42 PM [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 28.255 seconds (JVM running for 37.473)
2020-May-30 12:25:16 PM [http-nio-8080-exec-9] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:25:16 PM [http-nio-8080-exec-9] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:25:37 PM [http-nio-8080-exec-8] INFO  eventLogger - A new Game Event created, id: 0
2020-May-30 12:25:37 PM [http-nio-8080-exec-8] INFO  eventLogger - A new object: com.example.demo.DomainLayer.Alerts.GameEventAlert was added to the dataBase
2020-May-30 12:28:18 PM [http-nio-8080-exec-1] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:28:18 PM [http-nio-8080-exec-1] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:28:26 PM [http-nio-8080-exec-6] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.GameReport was added to the dataBase
2020-May-30 12:28:26 PM [http-nio-8080-exec-6] INFO  eventLogger - A new Game Report created, id: 6
2020-May-30 12:28:26 PM [http-nio-8080-exec-6] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.GameReport was updated in the dataBase
2020-May-30 12:41:43 PM [main] INFO  eventLogger - Starting spring boot application
2020-May-30 12:41:46 PM [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication on DESKTOP-MRP1GMH with PID 17192 (C:\Users\iris dreizenshtok\Desktop\programming\Teammates\target\classes started by iris dreizenshtok in C:\Users\iris dreizenshtok\Desktop\programming\Teammates)
2020-May-30 12:41:46 PM [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-May-30 12:41:46 PM [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-May-30 12:42:10 PM [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 26.566 seconds (JVM running for 32.99)
2020-May-30 12:48:26 PM [http-nio-8080-exec-3] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:48:26 PM [http-nio-8080-exec-3] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:48:47 PM [http-nio-8080-exec-2] INFO  eventLogger - A new Game Event created, id: 0
2020-May-30 12:48:47 PM [http-nio-8080-exec-2] INFO  eventLogger - A new object: com.example.demo.DomainLayer.Alerts.GameEventAlert was added to the dataBase
2020-May-30 12:52:26 PM [http-nio-8080-exec-3] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:52:26 PM [http-nio-8080-exec-3] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:52:26 PM [http-nio-8080-exec-3] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Season was updated in the dataBase
2020-May-30 12:52:26 PM [http-nio-8080-exec-3] INFO  eventLogger - A score policy was set to league: LaLiga, year:2020 by FAR: 1
2020-May-30 12:52:26 PM [http-nio-8080-exec-3] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.League was updated in the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A Game Scheduler policy was activated set to league: LaLiga by FAR: 1
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new Match created, id: 121 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@79bf002e ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@66fa360
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new Match created, id: 122 ,Home Team : com.example.demo.DomainLayer.LeagueManagment.Team@66fa360 ,Away Team: com.example.demo.DomainLayer.LeagueManagment.Team@79bf002e
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was updated in the dataBase
2020-May-30 12:52:33 PM [http-nio-8080-exec-7] INFO  eventLogger - A new object: com.example.demo.DomainLayer.LeagueManagment.Game was added to the dataBase
